featurename,group,label,explanation
Proportion identifying as male gender (<= 45),proportionmale,Proportion identifying as male gender (<= 45),
Proportion identifying as male gender (<= 60),proportionmale,Proportion identifying as male gender (<= 60),
Proportion identifying as male gender (<= 99),proportionmale,Proportion identifying as male gender (<= 99),
Proportion identifying as male gender (All),proportionmale,Proportion identifying as male gender (All),
Patch,pharmacological,Patch,"Ingestion mode of delivery that involves ingestion of a chemical through the skin. (Only applies to NRT)"
Pill,pharmacological,Pill,"Alimentary mode of delivery that involves swallowing of a pill or oral capsule. (Only applies to bupropion, varenicline and placebo.)"
gum,pharmacological,gum,"Ingestion mode of delivery that involves chewing of a soft material. (Only applies to NRT)"
lozenge,pharmacological,lozenge,"Ingestion mode of delivery that involves absorption of a chemical through the lining of the buccal cavity. (Only applies to NRT)"
nrt,pharmacological,nrt,"Nicotine Replacement Therapy (nicotine transdermal patch, nicotine chewing gum, nicotine lozenge, nicotine inhalator, e-cigarette)"
bupropion,pharmacological,bupropion,"An atypical antidepressant found to aid smoking cessation, taken as a tablet."
placebo,pharmacological,placebo,A tablet or device with no-pharmacologically active ingredient.
varenicline,pharmacological,varenicline,"A nicotine receptor partial agonist found to aid smoking cessation, taken as a tablet."
Printed material,deliverymode,Printed material,"Informational mode of delivery that involves use of printed material. (e.g. Leaflets, booklets and books.)"
Somatic,deliverymode,Somatic,"Mode of delivery that involves devices or substances that alter bodily processes or structure."
Website / Computer Program / App,deliverymode,Website / Computer Program / App,Forms of digital media involving computer programs.
text messaging,deliverymode,text messaging,SMS text messaging support.
Digital content type,deliverymode,Digital content type,"Any form of intervention delivery using digital media, including videos."
Face to face,deliverymode,Face to face,"Human interactional mode of delivery that involves an intervention source and recipient being together in the same location and communicating directly."
Group-based,deliverymode,Group-based,"Mode of delivery that involves three or more people in the location where the intervention is delivered."
phone,deliverymode,phone,Support from a human practitioner over the telephone.
Health Professional,deliverysource,Health Professional,"A practitioner in a healthcare role."
doctor,deliverysource,doctor,A practitioner with a qualification as a doctor.
nurse,deliverysource,nurse,A practitioner with a qualification as a nurse.
psychologist,deliverysource,psychologist,"A practitioner with a degree-level or higher qualification in psychology."

